family,config_id,seed,budget_per_class,requested_class,num_synthetic,alignment_accuracy,leakage_rate,correct,dominant_predicted_class,dominant_predicted_count,dominant_predicted_fraction,manifest_path
GAN,paper3_gan_aug_minority_heavy_c4c7_b100,43,100,4,100,0.0,1.0,0,8,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b100/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b100,43,100,7,100,0.0,1.0,0,8,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b100/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b100,44,100,4,100,0.0,1.0,0,5,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b100/seed44/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b100,44,100,7,100,0.0,1.0,0,5,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b100/seed44/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,42,500,4,500,0.0,1.0,0,1,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed42/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,42,500,7,500,0.0,1.0,0,1,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed42/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,43,500,4,500,0.0,1.0,0,8,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,43,500,7,500,0.0,1.0,0,8,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,44,500,4,500,0.0,1.0,0,5,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed44/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b500,44,500,7,500,0.0,1.0,0,5,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b500/seed44/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,42,2000,4,2000,0.0,1.0,0,1,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed42/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,42,2000,7,2000,0.0,1.0,0,1,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed42/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,43,2000,4,2000,0.0,1.0,0,8,1999,0.9995,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,43,2000,7,2000,0.0,1.0,0,8,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed43/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,44,2000,4,2000,0.0,1.0,0,5,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed44/manifest.json
GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,44,2000,7,2000,0.0,1.0,0,5,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/gan/synthetic/paper3_gan_aug_minority_heavy_c4c7_b2000/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,42,100,4,100,0.0,1.0,0,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,42,100,7,100,1.0,0.0,100,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,43,100,4,100,0.0,1.0,0,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,43,100,7,100,1.0,0.0,100,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,44,100,4,100,0.0,1.0,0,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b100,44,100,7,100,1.0,0.0,100,7,100,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b100/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,42,500,4,500,0.0,1.0,0,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,42,500,7,500,1.0,0.0,500,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,43,500,4,500,0.0,1.0,0,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,43,500,7,500,1.0,0.0,500,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,44,500,4,500,0.0,1.0,0,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b500,44,500,7,500,1.0,0.0,500,7,500,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b500/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,42,2000,4,2000,0.0,1.0,0,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,42,2000,7,2000,1.0,0.0,2000,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed42/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,43,2000,4,2000,0.0,1.0,0,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,43,2000,7,2000,1.0,0.0,2000,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed43/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,44,2000,4,2000,0.0,1.0,0,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed44/manifest.json
VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,44,2000,7,2000,1.0,0.0,2000,7,2000,1.0,/home/bruno.fonkeng/gencys/artifacts_paper3/vae/synthetic/paper3_vae_aug_minority_heavy_c4c7_b2000/seed44/manifest.json
